_unit_id,_created_at,_updated_at,_golden,jobname,rownum,s0_coordinates,s0_hash,s0_iteration,s0_mix,s0_name,s0_simplegrainlength,s0_simplemaxdist,s1_coordinates,s1_hash,s1_iteration,s1_mix,s1_name,s1_simplegrainlength,s1_simplemaxdist,morepc_gold,morepc_gold_reason
279848592,5/15/2013 16:56:24,5/15/2013 17:35:17,"",tune-simple-study-1-rank-iterations,20,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,dcc77dda3190ec5b017cfba8da560351,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-00-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848593,5/15/2013 16:56:24,5/15/2013 17:18:59,"",tune-simple-study-1-rank-iterations,21,0.00_0.00_1.00,85f3d8113c0a118015e1e56d05345660,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-02-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,dcc77dda3190ec5b017cfba8da560351,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-00-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848594,5/15/2013 16:56:24,5/15/2013 17:25:00,"",tune-simple-study-1-rank-iterations,22,0.00_0.00_1.00,dcc77dda3190ec5b017cfba8da560351,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-00-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,cec23ca015f334fc958a3f0b8cd97ee0,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-03-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848595,5/15/2013 16:56:24,5/15/2013 17:55:50,"",tune-simple-study-1-rank-iterations,23,0.00_0.00_1.00,dcc77dda3190ec5b017cfba8da560351,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-00-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,3a33deb83ebb059cfe83ef63d06a3665,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-04-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848596,5/15/2013 16:56:24,5/15/2013 17:35:26,"",tune-simple-study-1-rank-iterations,24,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,85f3d8113c0a118015e1e56d05345660,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-02-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848598,5/15/2013 16:56:24,5/15/2013 17:56:33,"",tune-simple-study-1-rank-iterations,25,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,cec23ca015f334fc958a3f0b8cd97ee0,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-03-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848599,5/15/2013 16:56:24,5/15/2013 17:31:37,"",tune-simple-study-1-rank-iterations,26,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,3a33deb83ebb059cfe83ef63d06a3665,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-04-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848600,5/15/2013 16:56:24,5/15/2013 17:26:15,"",tune-simple-study-1-rank-iterations,27,0.00_0.00_1.00,85f3d8113c0a118015e1e56d05345660,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-02-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,cec23ca015f334fc958a3f0b8cd97ee0,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-03-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848601,5/15/2013 16:56:24,5/15/2013 17:33:30,"",tune-simple-study-1-rank-iterations,28,0.00_0.00_1.00,85f3d8113c0a118015e1e56d05345660,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-02-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,3a33deb83ebb059cfe83ef63d06a3665,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-04-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848602,5/15/2013 16:56:24,5/15/2013 17:23:16,"",tune-simple-study-1-rank-iterations,29,0.00_0.00_1.00,3a33deb83ebb059cfe83ef63d06a3665,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-04-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,cec23ca015f334fc958a3f0b8cd97ee0,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-03-simple.maxdist-15.mp3,2.00_4.00,15,"",""
279848603,5/15/2013 16:56:24,5/15/2013 17:36:21,"",tune-simple-study-1-rank-iterations,30,0.00_1.00_0.00,0219932f948a3247ed485c45549ebd82,01,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15,0.00_1.00_0.00,94626593710777c2afd5f55082d3d52a,00,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15,"",""
279848604,5/15/2013 16:56:24,5/15/2013 17:38:53,"",tune-simple-study-1-rank-iterations,31,0.00_1.00_0.00,2f73c8c7c4c4e344ae5e60d597b840ae,02,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15,0.00_1.00_0.00,94626593710777c2afd5f55082d3d52a,00,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15,"",""
279848605,5/15/2013 16:56:24,5/15/2013 17:38:21,"",tune-simple-study-1-rank-iterations,32,0.00_1.00_0.00,c789ad10a61c7777d81b9535d9272063,03,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_1.00_0.00,94626593710777c2afd5f55082d3d52a,00,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15,"",""
279848606,5/15/2013 16:56:24,5/15/2013 17:26:02,"",tune-simple-study-1-rank-iterations,33,0.00_1.00_0.00,94626593710777c2afd5f55082d3d52a,00,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15,0.00_1.00_0.00,a462b56546f6b7bcf175b1639392b155,04,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,"",""
279848607,5/15/2013 16:56:24,5/15/2013 17:41:14,"",tune-simple-study-1-rank-iterations,34,0.00_1.00_0.00,2f73c8c7c4c4e344ae5e60d597b840ae,02,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15,0.00_1.00_0.00,0219932f948a3247ed485c45549ebd82,01,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15,"",""
279848608,5/15/2013 16:56:24,5/15/2013 17:16:38,"",tune-simple-study-1-rank-iterations,35,0.00_1.00_0.00,0219932f948a3247ed485c45549ebd82,01,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15,0.00_1.00_0.00,c789ad10a61c7777d81b9535d9272063,03,simple,mp3/mix-simple-coordinates-0.00_1.00_0.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,"",""
