_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,which_sound_was_more_realistic,orig__golden,jobname,morepc_gold,morepc_gold_reason,rownum,s0_coordinates,s0_hash,s0_iteration,s0_mix,s0_name,s0_simplegrainlength,s0_simplemaxdist,s1_coordinates,s1_hash,s1_iteration,s1_mix,s1_name,s1_simplegrainlength,s1_simplemaxdist
283053806,5/27/2013 22:03:43,false,947391323,,5/27/2013 22:03:02,false,instagc,0.9375,16301289,USA,CA,San Diego,108.197.32.200,s0,"",tune-simple-study-2-1-intracoord,"","",4,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,384d6089998b4fb4b668579b8f1a8c0a,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-5.mp3,1.00_2.00,5
283053806,5/27/2013 22:06:08,false,947393959,,5/27/2013 22:04:30,false,bitcoinget,1.0,18414159,CAN,AB,Edmonton,68.148.33.29,s1,"",tune-simple-study-2-1-intracoord,"","",4,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,384d6089998b4fb4b668579b8f1a8c0a,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-5.mp3,1.00_2.00,5
283053806,5/27/2013 22:07:47,false,947395260,,5/27/2013 22:07:09,false,prodege,1.0,7560634,CAN,AB,Edmonton,68.148.2.144,same,"",tune-simple-study-2-1-intracoord,"","",4,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,384d6089998b4fb4b668579b8f1a8c0a,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-5.mp3,1.00_2.00,5
283053806,5/27/2013 22:08:50,false,947396157,,5/27/2013 22:07:20,false,prodege,1.0,1857048,USA,NJ,Lakewood,71.172.222.108,null,"",tune-simple-study-2-1-intracoord,"","",4,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,384d6089998b4fb4b668579b8f1a8c0a,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-5.mp3,1.00_2.00,5
283053806,5/27/2013 22:09:34,false,947396730,,5/27/2013 22:07:24,false,prodege,1.0,16681091,USA,CA,Oakland,75.61.72.225,s1,"",tune-simple-study-2-1-intracoord,"","",4,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,384d6089998b4fb4b668579b8f1a8c0a,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-5.mp3,1.00_2.00,5
283053807,5/27/2013 22:04:45,false,947392428,,5/27/2013 22:03:25,false,instagc,1.0,13038918,USA,WV,Eleanor,50.121.129.58,s1,"",tune-simple-study-2-1-intracoord,"","",5,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053807,5/27/2013 22:05:03,false,947392829,,5/27/2013 22:04:03,false,prodege,1.0,13389770,CAN,AB,Calgary,96.53.23.66,s1,"",tune-simple-study-2-1-intracoord,"","",5,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053807,5/27/2013 22:05:14,false,947392994,,5/27/2013 22:03:52,false,amt,1.0,390741,USA,NH,Manchester,71.168.99.31,s0,"",tune-simple-study-2-1-intracoord,"","",5,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053807,5/27/2013 22:05:54,false,947393643,,5/27/2013 22:04:13,false,prodege,1.0,16681091,USA,CA,Oakland,75.61.72.225,s0,"",tune-simple-study-2-1-intracoord,"","",5,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053807,5/27/2013 22:06:20,false,947394117,,5/27/2013 22:04:37,false,instagc,1.0,18425758,USA,LA,Slidell,68.186.230.30,s0,"",tune-simple-study-2-1-intracoord,"","",5,0.00_0.00_1.00,dbbad57da10f5d284c09ad71e1333007,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-2.00_4.00-iteration-01-simple.maxdist-15.mp3,2.00_4.00,15,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
